"","batter_id","year","pitches","stuff_rv_70","pitch_rv_150","woba_fg"
"209",547180,2021,2290,-0.075,0.842,0.427476066071429
"210",547379,2021,671,0.162,0.684,0.254737655844156
"211",547942,2021,94,0.443,0.351,0.14886768
"212",547943,2021,12,0.365,0.164,0
"213",547989,2021,2551,0.052,0.586,0.351178079315708
"214",548389,2021,19,0.57,-0.278,0
"215",553869,2021,1274,0.056,0.79,0.3331265
"216",553882,2021,1541,0.179,0.56,0.317550370283019
"217",553902,2021,588,0.029,0.347,0.277275282296651
"218",553993,2021,2342,0.125,0.544,0.306412934163701
"219",554430,2021,259,0.32,0.448,0.155146194029851
"220",570256,2021,1505,0.178,0.79,0.274977356756757
"221",570481,2021,786,0.157,0.48,0.244869556053812
"222",570482,2021,1588,-0.033,0.108,0.30266547826087
"223",570632,2021,3,-0.223,-0.627,NA
"224",570731,2021,2541,0.076,0.419,0.326171849170437
"225",571431,2021,137,0.4,1.551,0.197745538461538
"226",571448,2021,2405,-0.015,0.591,0.338074818897638
"227",571466,2021,1512,0.188,0.781,0.303522224543081
"228",571510,2021,20,-0.082,-0.974,0.392693
"229",571521,2021,7,-0.245,0.302,0
"230",571578,2021,202,0.439,1.045,0.138669452830189
"231",571657,2021,1915,0.101,0.472,0.316498061657033
"232",571676,2021,21,0.031,-0.077,0.17292925
"233",571718,2021,1167,0.128,0.913,0.310503939849624
"234",571740,2021,522,0.165,0.232,0.262142977272727
"235",571745,2021,2673,0.063,0.493,0.333248637462236
"236",571760,2021,15,0.611,1.077,0.523590666666667
"237",571771,2021,2145,0.054,0.652,0.326997478976234
"238",571788,2021,999,0.179,0.694,0.255879936758893
"239",571800,2021,4,1.123,1.661,0
"240",571875,2021,664,0.133,0.437,0.304926584337349
"241",571912,2021,124,-0.097,0.198,0.357616411764706
"242",571918,2021,87,-0.192,0.903,0.307356894736842
"243",571927,2021,9,0.449,0.501,0
"244",571945,2021,45,0.481,1.427,0.0768574444444445
"245",571946,2021,4,-0.656,-0.121,0
"246",571948,2021,9,0.554,5.477,0.3458585
"247",571970,2021,2382,0.14,0.878,0.375785203125
"248",571976,2021,1960,-0.075,0.234,0.335087560327198
"249",571980,2021,1778,0.293,1.008,0.345169006666667
"250",572008,2021,193,0.052,1.052,0.430646775510204
"251",572039,2021,651,0.182,0.423,0.273509446927374
"252",572041,2021,1408,-0.026,0.595,0.374018947761194
"253",572070,2021,22,0.235,-0.036,0.24833
"254",572122,2021,2447,0.114,0.529,0.308839790372671
"255",572125,2021,3,0.147,-4.151,0
"256",572191,2021,2056,0.094,0.597,0.287167279069767
"257",572204,2021,160,0.268,1.147,0.4533674
"258",572228,2021,916,-0.029,0.235,0.333707294372294
"259",572233,2021,1723,-0.066,0.085,0.302819582366589
"260",572287,2021,1400,-0.076,0.247,0.363567271428571
"261",572761,2021,1098,0.164,0.854,0.270494375
"262",572816,2021,1434,0.077,0.773,0.308899840909091
"263",572863,2021,288,0.028,-0.096,0.335331808823529
"264",572971,2021,9,0.152,-0.662,0
"265",573131,2021,1341,0.162,0.364,0.389839817880795
"266",573186,2021,166,0.398,0.347,0.148817603773585
"267",573262,2021,2035,0.238,0.476,0.322821609284333
"268",575929,2021,1924,-0.037,0.457,0.332302209745763
"269",578428,2021,1785,0.061,0.521,0.305227361616162
"270",579328,2021,10,1.029,-2.754,0
"271",591720,2021,1152,-0.002,0.42,0.272416021084337
"272",591971,2021,361,0.263,0.529,0.292746755813953
"273",592178,2021,2189,-0.016,0.504,0.357012500878735
"274",592192,2021,2578,0.125,0.571,0.333053330618893
"275",592200,2021,897,0.056,0.03,0.291699138392857
"276",592206,2021,2112,0.01,0.621,0.390134739510489
"277",592254,2021,16,0.567,-1.32,0.293018333333333
"278",592261,2021,243,0.42,0.187,0.352045589285714
"279",592273,2021,319,0.032,0.427,0.333388443181818
"280",592314,2021,8,0.75,0.53,0
"281",592325,2021,1575,0.225,0.846,0.318450112531969
"282",592332,2021,208,0.563,0.894,0.191961962264151
"283",592346,2021,110,0.314,-0.101,0.175793129032258
"284",592348,2021,1318,0.119,0.543,0.278743378125
"285",592351,2021,186,0.201,0.139,0.0998926136363636
"286",592390,2021,3,1.356,-2.571,0
"287",592407,2021,140,-0.148,-0.673,0.239267676470588
"288",592419,2021,11,0.593,4.836,0
"289",592444,2021,385,0.173,-0.362,0.209633725490196
"290",592450,2021,2486,-0.113,0.397,0.387043277310924
"291",592518,2021,2184,-0.112,0.425,0.346940644844517
"292",592530,2021,491,0.222,0.768,0.259969530434783
"293",592567,2021,1337,0.196,0.548,0.311367755747126
"294",592622,2021,90,0.196,1.128,0.20415225
"295",592626,2021,1864,0.046,0.6,0.311935189765458
"296",592656,2021,205,0.077,0.512,0.253020245283019
"297",592662,2021,17,-0.033,1.095,0
"298",592663,2021,2018,-0.07,0.428,0.336907951361868
"299",592669,2021,2084,0.035,0.495,0.342726994515539
"300",592696,2021,1473,0.144,0.894,0.3178618175
"301",592716,2021,39,0.721,-0.15,0
"302",592717,2021,38,0.407,-0.014,0
"303",592743,2021,1613,0.048,0.369,0.253308392776524
"304",592761,2021,93,0.175,1.123,0.14726475
"305",592767,2021,142,0.744,0.053,0.065929125
"306",592791,2021,7,-0.07,3.47,0.3458585
"307",592826,2021,84,0.241,0.292,0.130897666666667
"308",592836,2021,176,0.343,0.088,0.135091255813953
"309",592859,2021,283,0.129,0.191,0.195047675675676
"310",592863,2021,127,0.242,0.413,0.269961
"311",592866,2021,105,0.571,0.457,0.20347968
"312",592885,2021,1966,0.187,0.82,0.322596602620087
"313",593160,2021,2569,0.051,0.264,0.306343781206171
"314",593334,2021,6,0.442,-1.76,0
"315",593372,2021,87,0.524,0.019,0.0922045652173913
"316",593423,2021,15,0.457,-0.077,0
"317",593428,2021,2392,0.019,0.354,0.375838466086957
"318",593528,2021,44,-0.006,1.141,0.130897666666667
"319",593576,2021,3,0.81,-1.678,0
"320",593590,2021,277,0.213,0.995,0.285522118421053
"321",593643,2021,805,0.014,0.478,0.288935287449393
"322",593833,2021,2,1.378,5.827,0
"323",593871,2021,2402,0.136,0.534,0.35308630176565
"324",593934,2021,2130,-0.091,0.199,0.324509970817121
"325",593958,2021,14,0.896,1.138,0
"326",594311,2021,9,0.725,-0.132,0
"327",594694,2021,885,0.209,0.907,0.308122857758621
"328",594777,2021,726,0.097,0.946,0.286945393258427
"329",594798,2021,87,0.233,0.14,0.313948214285714
"330",594807,2021,2121,-0.063,0.199,0.32915041697417
"331",594809,2021,1128,0.192,0.924,0.270757935251799
"332",594835,2021,17,0.627,0.36,0
"333",594838,2021,1409,0.046,0.475,0.294567152173913
"334",594965,2021,20,0.339,-0.4,0
"335",594986,2021,10,0.266,-0.638,0
"336",594988,2021,112,0.137,-0.158,0.1325440625
"337",595191,2021,14,0.776,2.289,0.351622
"338",595281,2021,1402,-0.058,0.616,0.314043415300546
"339",595284,2021,586,0.104,0.257,0.202341613333333
"340",595345,2021,8,-0.057,-1.997,0
"341",595375,2021,7,-0.421,-1.653,0.4395275
"342",595453,2021,275,0.062,0.105,0.212727193548387
"343",595465,2021,1,0.99,7.846,0
"344",595751,2021,1080,0.005,0.596,0.274745481727575
"345",595777,2021,1686,0.106,0.536,0.29058465875
"346",595798,2021,4,-0.555,2.131,0
"347",595879,2021,2030,-0.113,0.725,0.345127920262664
"348",595909,2021,665,0.105,0.241,0.261230435582822
"349",595928,2021,7,0.4,-0.033,0
"350",595943,2021,899,0.094,0.709,0.281398683333333
"351",595956,2021,430,0.145,0.124,0.279976520491803
"352",595978,2021,1127,0.126,0.448,0.228549584775087
"353",595981,2021,146,0.273,1.225,0.226152294117647
"354",596001,2021,5,0.719,0.552,0
"355",596019,2021,2055,0.156,0.818,0.318898184158416
"356",596049,2021,7,0.373,0.572,0
"357",596056,2021,558,0.009,0.058,0.272073136690647
"358",596057,2021,8,0.095,-0.99,0
"359",596059,2021,1257,0.025,0.667,0.29909024702381
"360",596071,2021,26,1.134,1.205,0.115286166666667
"361",596082,2021,1,-1.422,-4.765,0
"362",596103,2021,1143,0.196,0.123,0.324724590604027
"363",596115,2021,2365,-0.036,0.659,0.339517460884354
"364",596117,2021,113,0.392,1.018,0.205082055555556
"365",596129,2021,1116,0.167,0.89,0.329910545454545
"366",596133,2021,70,0.112,-0.217,0.128938263157895
"367",596142,2021,1754,-0.01,0.48,0.317542199029126
"368",596146,2021,1812,0.026,0.83,0.310882351812367
"369",596295,2021,99,0.116,0.559,0.118888642857143
"370",596451,2021,242,0.162,0.668,0.26821062295082
"371",596748,2021,1379,-0.002,0.278,0.259699786666667
"372",596825,2021,444,0.093,0.674,0.191652592920354
"373",596847,2021,1157,-0.055,0.582,0.329192758992806
"374",598265,2021,1616,0.153,0.565,0.219337090024331
"375",598286,2021,5,0.617,-0.293,0
"376",600301,2021,125,0.047,0.32,0.259377448275862
"377",600303,2021,1008,0.219,0.337,0.312998923076923
"378",600474,2021,1616,-0.026,0.003,0.29632884
"379",600524,2021,183,0.144,-0.149,0.285494
"380",600858,2021,10,-0.358,-0.833,0
"381",600869,2021,2519,0.265,0.834,0.345423974110032
"382",601713,2021,15,-1.191,-2.684,0
