"MLBAMID","Name"
598265,"Jackie Bradley Jr."
594777,"Kole Calhoun"
573262,"Mike Yastrzemski"
407886,"Ryan Ludwick"
673357,"Luis Robert Jr."
123833,"Larry Walker"
114596,"Nomar Garciaparra"
662139,"Daulton Varsho"
150317,"Joe Crede"
119811,"Trot Nixon"
114935,"Luis Gonzalez"
605113,"Nick Ahmed"
444876,"Alcides Escobar"
425496,"Cody Ross"
546318,"Odúbel Herrera"
425686,"Hideki Matsui"
608336,"Joey Gallo"
333292,"Jack Wilson"
461416,"Will Venable"
150415,"Brad Wilkerson"
430611,"Corey Hart"
150061,"Julio Lugo"
425206,"Jamey Carroll"
680776,"Jarren Duran"
408299,"Omar Infante"
682829,"Elly De La Cruz"
663757,"Trent Grisham"
123610,"Jose Valentin"
434563,"Carlos Ruiz"
150439,"Gary Matthews Jr."
123245,"Frank Thomas"
117919,"Javy Lopez"
527038,"Wilmer Flores"
656555,"Rhys Hoskins"
572816,"Corey Dickerson"
110432,"Jeff Bagwell"
124748,"Gregg Zaun"
544369,"Didi Gregorius"
670623,"Isaac Paredes"
457775,"Desmond Jennings"
671739,"Michael Harris II"
114260,"Cliff Floyd"
650333,"Luis Arraez"
672695,"Geraldo Perdomo"
641857,"Ryan McMahon"
666971,"Lourdes Gurriel Jr."
453211,"Drew Stubbs"
571740,"Billy Hamilton"
502481,"Jarrod Dyson"
576397,"Jedd Gyorko"
608365,"Addison Russell"
150020,"Jerry Hairston Jr."
112736,"Craig Counsell"
425560,"Adam LaRoche"
663647,"Ke'Bryan Hayes"
434658,"Rajai Davis"
543305,"Aaron Hicks"
279913,"Corey Patterson"
400083,"Andres Torres"
119482,"Bill Mueller"
432928,"Luke Scott"
624428,"Adam Frazier"
121673,"Reggie Sanders"
474568,"Jordy Mercer"
400134,"Eric Hinske"
641933,"Tyler O'Neill"
543829,"Dee Strange-Gordon"
673490,"Ha-Seong Kim"
460579,"Nyjer Morgan"
136460,"Alex Gonzalez"
673548,"Seiya Suzuki"
455117,"Martín Maldonado"
621493,"Taylor Ward"
594807,"Adam Duvall"
291565,"Eric Byrnes"
137140,"Russell Branyan"
122027,"Richie Sexson"
501981,"Khris Davis"
643217,"Andrew Benintendi"
